"","x"
"127",-3.12259172868454
"128",-3.0584348384788
"129",-4.59872534300548
"130",0.787971817523406
"131",-0.28559065241427
"132",-2.02240311566758
"133",-2.30362803049948
"134",-1.84208008249857
"135",2.52973185287902
"136",-2.05000866647431
"137",-3.09014245202244
"138",-7.62903870058135
"139",-5.10181813977346
"140",-5.68451656864318
"141",-6.21794616921454
"142",-2.95728052745217
"143",-6.66835578055289
"144",-7.05076068591108
"145",-2.7870068371925
"146",-0.185018687586365
"147",-0.237184639798692
"148",-1.11022395140175
"149",-3.44062628879754
"150",0.437169446431855
"151",-9.26432507243307
"152",-5.6719812574722
"153",-7.73045447730238
"154",-10.8692862841867
"155",-9.91625997093356
"156",-9.01916285738746
"157",-9.02810413538038
"158",-9.63632633912396
"159",-10.3322565187536
"160",-5.30153854248711
"161",-6.60905449200997
"162",-6.3040915652963
"163",-7.74854290987428
"164",-6.84279569189898
"165",-5.08893526128447
"166",-0.574923603529731
"167",-1.77222727671961
"168",-3.31007753752056
"169",3.10940449305972
"170",-2.59157070441647
"171",-1.32979786071667
"172",-1.36852386761854
"173",-3.5021165904039
"174",0.764076324998981
"175",-1.50123416021707
"176",-2.72296601344583
"177",-2.97462533874237
"178",-2.05509174962414
"179",-3.70554412649832
"180",-2.48040479649467
"181",0.613062207508955
"182",-2.61321854437646
"183",0.131532235285454
"184",-1.53061351847201
"185",-1.50000169893081
"186",1.3857544544969
"187",-0.0649403470665237
"188",0.459756038034893
"189",-3.26854132660742
"190",-0.660855528557525
"191",0.812082073729206
"192",0.44105237545345
"193",2.01258682487102
"194",0.203964179405201
"195",-0.359537845515598
"196",-1.28837545549269
"197",0.66041657696506
"198",-0.291881721990586
"199",-0.938945567559361
"200",0.861069248486627
"201",1.14202696835483
"202",-0.310847408877634
"203",-3.49343188064615
"204",-1.05139303993323
"205",-2.02285728804768
"206",0.293474376960829
"207",-0.458054900574305
"208",-3.41980916310236
"209",-2.47691855521819
"210",1.34306045768391
"211",-3.94227183593086
"212",-0.0787139883863421
"213",0.481263360149662
"214",0.48479298703255
"215",-0.386793482554998
"216",1.23229754603169
"217",-1.22806926807156
"218",0.267112166787043
"219",-2.44380301750098
"220",0.981116499403966
"221",3.81465754191961
"222",-0.882338040080272
"223",1.50607398862744
"224",-1.3730958793813
"225",-3.74735230564675
"226",-1.63123570782138
"227",-0.323789780799559
"228",0.799351489976697
"229",-1.48343917667144
"230",-1.7674106173409
"231",-2.60653749222693
"232",-3.39690787724442
"233",-4.56835896326244
"234",-1.25191181184711
"235",-1.7557349278226
"236",0.580237170343055
"237",1.59509470742062
"238",-1.03644231850658
"239",0.761428336000459
"240",-3.03878792618312
"241",-8.78947865829963
"242",-6.8895977330755
"243",-8.67342009588668
"244",-8.54692670867811
"245",-7.19825784711543
"246",-9.65376064666767
"247",-4.95795995940447
"248",-9.6625385669206
"249",-9.50200476861962
"250",-5.40893837854711
"251",-1.06925717959283
"252",-2.84417459154968
"253",-0.74263891204903
"254",-1.42149558384639
"255",0.42460705291875
"256",-3.89920127357507
"257",-4.20244528441184
"258",-2.65720738943727
"259",-0.640391370100737
"260",-3.69170658905009
"261",-1.12044820939343
"262",1.24838781024613
"263",0.391227367936124
"264",-4.25307194473782
"265",-3.82087541005352
"266",-0.700387029220322
"267",-3.48733694305845
"268",-3.7331862564421
"269",-0.253324361335043
"270",-3.55600408818355
"271",-1.26557765385364
"272",6.14042588351161
"273",1.65949743284353
"274",1.99769665024834
"275",-5.31246099883796
"276",-0.630620517545119
"277",-0.989721772325664
"278",-0.865481028914774
"279",-1.08344114314187
"280",1.86738875234865
"281",-1.47572378064968
"282",0.385423427630012
"283",-2.8819030836665
"284",-1.03434751132372
"285",-1.63244729649616
"286",-0.945812146811652
"287",-1.89431975065932
"288",-1.86927992416136
"289",-4.81626012795266
"290",-1.02656859319997
"291",2.17071118403974
"292",-0.861881216155149
"293",3.33516478210841
"294",-0.786395720593244
"295",1.70837709954917
"296",-0.0628167648887539
"297",-3.73810625874924
"298",-3.43511319198964
"299",-0.0946731928165659
"300",0.870769100519942
"301",-2.03168295718018
"302",-0.918826166308529
"303",-1.5132116196636
