Gene	HGNC_ID
IL12B	HGNC:5970
IL13	HGNC:5973
IL17A	HGNC:5981
IL17F	HGNC:16404
IL1F10	HGNC:15552
IL21	HGNC:6005
IL22	HGNC:14900
IL25	HGNC:13765
IL26	HGNC:17119
IL28A	HGNC:18364
IL28B	HGNC:18365
IL29	HGNC:18363
IL3	HGNC:6011
IL31	HGNC:19372
IL36A	HGNC:15562
IL36B	HGNC:15564
IL36RN	HGNC:15561
IL9	HGNC:6029
INS	HGNC:6081
INSL5	HGNC:6088
INSL6	HGNC:6089
INSM2	HGNC:17539
INSRR	HGNC:6093
IQCF1	HGNC:28607
IRGC	HGNC:28835
ISX	HGNC:28084
ITIH6	HGNC:28907
IZUMO2	HGNC:28518
KCNA10	HGNC:6219
KCNB2	HGNC:6232
KCNG4	HGNC:19697
KCNK10	HGNC:6273
KCNK16	HGNC:14464
KCNK18	HGNC:19439
KCNV1	HGNC:18861
KHDC3L	HGNC:33699
KIF2B	HGNC:29443
KIR2DL1	HGNC:6329
KIR3DL3	HGNC:16312
KLK12	HGNC:6360
KLK9	HGNC:6370
KRT2	HGNC:6439
KRT25	HGNC:30839
KRT26	HGNC:30840
KRT28	HGNC:30842
KRT33A	HGNC:6450
KRT35	HGNC:6453
KRT36	HGNC:6454
KRT37	HGNC:6455
KRT38	HGNC:6456
KRT40	HGNC:26707
KRT71	HGNC:28927
KRT73	HGNC:28928
KRT74	HGNC:28929
KRT75	HGNC:24431
KRT76	HGNC:24430
KRT77	HGNC:20411
KRT78	HGNC:28926
KRT82	HGNC:6459
KRT84	HGNC:6461
KRT85	HGNC:6462
KRT86	HGNC:6463
KRT9	HGNC:6447
KRTAP1-1	HGNC:16772
KRTAP10-1	HGNC:22966
KRTAP10-10	HGNC:22972
KRTAP10-11	HGNC:20528
KRTAP10-12	HGNC:20533
KRTAP10-2	HGNC:22967
KRTAP10-4	HGNC:20521
KRTAP10-5	HGNC:22969
KRTAP10-6	HGNC:20523
KRTAP10-7	HGNC:22970
KRTAP10-8	HGNC:20525
KRTAP10-9	HGNC:22971
KRTAP11-1	HGNC:18922
KRTAP13-1	HGNC:18924
KRTAP13-2	HGNC:18923
KRTAP13-3	HGNC:18925
KRTAP13-4	HGNC:18926
KRTAP15-1	HGNC:18927
KRTAP17-1	HGNC:18917
KRTAP19-3	HGNC:18938
KRTAP23-1	HGNC:18928
KRTAP26-1	HGNC:33760
KRTAP3-2	HGNC:16779
KRTAP4-11	HGNC:18911
KRTAP4-12	HGNC:16776
KRTAP4-2	HGNC:18900
KRTAP4-4	HGNC:16928
KRTAP4-7	HGNC:18898
KRTAP5-2	HGNC:23597
KRTAP9-2	HGNC:16926
KRTAP9-3	HGNC:16927
KRTAP9-4	HGNC:18902
LALBA	HGNC:6480
LBX1	HGNC:16960
LCN9	HGNC:17442
LCT	HGNC:6530
LGALS13	HGNC:15449
LGALS14	HGNC:30054
LHFPL5	HGNC:21253
LHX3	HGNC:6595
LHX5	HGNC:14216
LIM2	HGNC:6610
LIN28A	HGNC:15986
LIPM	HGNC:23455
LOR	HGNC:6663
LRIT1	HGNC:23404
LRIT2	HGNC:23443
LRRC10	HGNC:20264
LUZP4	HGNC:24971
LYZL1	HGNC:30502
LYZL2	HGNC:29613
LYZL6	HGNC:29614
MAGEA10	HGNC:6797
MAGEA11	HGNC:6798
MAGEB1	HGNC:6808
MAGEB10	HGNC:25377
MAGEB18	HGNC:28515
MAGEB3	HGNC:6810
MAGEB4	HGNC:6811
MAGEC3	HGNC:23798
MAS1	HGNC:6899
MAS1L	HGNC:13961
MBD3L1	HGNC:15774
MBD3L2	HGNC:18532
MBL2	HGNC:6922
MC2R	HGNC:6930
MC3R	HGNC:6931
MC5R	HGNC:6933
MEP1A	HGNC:7015
MEP1B	HGNC:7020
MEPE	HGNC:13361
MFRP	HGNC:18121
MMD2	HGNC:30133
MMP20	HGNC:7167
MMP21	HGNC:7170
MMP26	HGNC:14249
MMP27	HGNC:14250
MOGAT3	HGNC:23249
MORC1	HGNC:7198
MRGPRD	HGNC:29626
MRGPRX1	HGNC:17962
MRGPRX2	HGNC:17983
MRGPRX4	HGNC:17617
MS4A10	HGNC:13368
MS4A13	HGNC:16674
MS4A5	HGNC:13374
MSGN1	HGNC:14907
MT1B	HGNC:7394
MTNR1B	HGNC:7464
MUC17	HGNC:16800
MUC7	HGNC:7518
MYBPC3	HGNC:7551
MYF5	HGNC:7565
NANOGNB	HGNC:24958
NANOS2	HGNC:23292
NCR2	HGNC:6732
NDST4	HGNC:20779
NEUROD2	HGNC:7763
NEUROD4	HGNC:13802
NEUROD6	HGNC:13804
NEUROG1	HGNC:7764
NKX2-1	HGNC:11825
NKX2-2	HGNC:7835
NLRP4	HGNC:22943
NLRP5	HGNC:21269
NLRP8	HGNC:22940
